adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/wE1TZtB5G1fdiln3PPnnLhExuCz.jpg,"[28, 53, 80]",1296504,en,Stand Your Ground,"Former Special Forces operative, Jack Johnson, uses the Stand Your Ground law to seek vengeance for his wife’s murder, igniting a brutal war against a local crime lord’s family and ending in an explosive showdown.",9.433,/vKB59pPIYvjRxxEXoRoyUfaiBoD.jpg,2025-05-09,Stand Your Ground,False,4.5,61
False,/kohW6AcOSH2tHGNO60HGBHlaIFh.jpg,[18],1182861,es,Romería,"Marina, 18, orphaned at a young age, must travel to Spain’s Atlantic coast to obtain a signature for a scholarship application from the paternal grandparents she has never met. She navigates a sea of new aunts, uncles, and cousins, uncertain whether she will be embraced or met with resistance. Stirring long-buried emotions, reviving tenderness, and uncovering unspoken wounds tied to the past, Marina pieces together the fragmented and often contradictory memories of the parents she barely remembers.",9.3494,/svscmm7MZml1JqBMl62REnbxhjP.jpg,2025-09-05,Romería,False,6.529,35
False,/ajdB8AoHKrYlOR4yMDMZYLFyfdj.jpg,"[53, 28]",1235746,en,Dead of Winter,"A widowed fisherwoman, travelling alone through snowbound northern Minnesota, interrupts the kidnapping of a teenage girl. Hours from the nearest town and with no phone service, she realizes that she is the young girl's only hope.",9.1672,/5DcrN62sGAiRJxt8rXSRlSRLwIE.jpg,2025-09-23,Dead of Winter,False,6.455,167
False,/vXzqV2RtJlT9WhNEM4NYWCEC6ZI.jpg,"[18, 10749]",142,en,Brokeback Mountain,"In 1960s Wyoming, two men develop a strong emotional and sexual relationship that endures as a lifelong connection complicating their lives as they get married and start families of their own.",9.4828,/aByfQOQBNa4CMFwIgq3QrqY2ZHh.jpg,2005-10-22,Brokeback Mountain,False,7.786,7413
False,/yxcbiZEaVzQqWSRWVIa4OzSK0Ug.jpg,"[10751, 14, 12, 18]",1175842,de,Momo,"Momo is a young orphan girl who lives in the ruins of an old Roman amphitheater and becomes friends with everybody in the neighborhood. But when a powerful international corporation starts stealing everybody’s time, nobody has any time left for her, let alone their friends or families. Momo, together with Master Hora, the custodian of time, are the only ones who can go up against the time thieves before all is lost forever.",10.6006,/t3igABxx2wkslwdlTBDYHzyNfL6.jpg,2025-10-02,Momo,False,8.115,13
False,/vXYRqIySwaa56quJGRKxXfSaTh0.jpg,"[35, 10749, 18]",993708,en,The Threesome,"Connor and his long-time crush Olivia engage in a threesome with a sweet, alluring stranger named Jenny. This encounter sparks a relationship between Connor and Olivia, leading them to plan a life together. However, their romance faces challenges when Jenny reappears, thrusting all three into a difficult journey toward true accountability and adulthood.",8.8513,/7vQUAw3CX60dhzgzC7BQZFN7Y31.jpg,2025-09-04,The Threesome,False,6.172,61
False,/h9ie4uakrX6hWVeRG9prvFytbiE.jpg,"[35, 10749, 18]",1283671,fr,Amour apocalypse,"Adam is a kind-hearted kennel-owner. Hypersensitive and borderline depressed, Adam orders a therapeutic solar lamp. Through the lamp’s supplier's technical support line, he meets Tina, a radiant woman with a voice that soothes all of his worries. This unexpected encounter changes everything: Earth trembles, and hearts explode… It's love!",8.2565,/6aq7flJkxR8HStDrSc95lcDe84Q.jpg,2025-08-08,Peak Everything,False,7.4,5
False,/sSrU5zYRqraYqNl2xsQOonNQbhh.jpg,[27],1201262,en,Grafted,"When an awkward but brilliant Chinese student wins a scholarship into a prestigious New Zealand University, she finds a new way of achieving the popularity she craves one bloody body at a time.",8.2188,/u53wFzLoJD7om52Hjma8G27LS2h.jpg,2024-09-12,Grafted,False,5.7,60
False,/oguoQWtQJcqIkmmUNbe3CmLx6AP.jpg,"[12, 14, 18, 10749]",24021,en,The Twilight Saga: Eclipse,"Bella once again finds herself surrounded by danger as Seattle is ravaged by a string of mysterious killings and a malicious vampire continues her quest for revenge. In the midst of it all, she is forced to choose between her love for Edward and her friendship with Jacob, knowing that her decision has the potential to ignite the ageless struggle between vampire and werewolf. With her graduation quickly approaching, Bella is confronted with the most important decision of her life.",9.1973,/dK4Gi1UdMiHzHc7r7CZQG4IQ9Sr.jpg,2010-06-23,The Twilight Saga: Eclipse,False,6.198,9134
False,/9OUohsezE4kZr74oy9DA8Dt4jXo.jpg,"[16, 18, 10749]",896499,ja,フルーツバスケット－prelude－,"Kyoko, who couldn't believe anything in the world and lived a desolate life, meets Katsuya Honda, who has been assigned as an educational trainee. She is at the mercy of Katsuya, who is rude and has a strong habit, and she is gradually attracted to her. However, she is disowned by her parents in the wake of an incident with her bad fellow. It's a punishment that I've been doing as much as I like. Katsuya appears in front of Kyoko who thinks so...",7.6693,/gt7radvJj8UI8C8mvmtWX5uiqQB.jpg,2022-02-18,Fruits Basket -prelude-,False,6.95,40
